passenger_id,flight_callsign,name,nationality,date_of_birth,seat,booking_class,status,check_in_time,luggage_count,special_assistance,frequent_flyer_tier
PAX00000,UAL8040,Sydney Davis,Egypt,1949-08-22,33A,Premium Economy,Scheduled,2026-02-02T23:46:45,3,Unaccompanied Minor,Gold
PAX00001,SWA3693,Tina Allen,Guam,1957-02-21,20F,Business,No-show,2026-02-02T15:09:27,2,Wheelchair,Gold
PAX00002,AAL6541,Susan Diaz,Italy,1988-01-04,35C,Business,Checked-in,2026-02-02T01:34:57,2,None,Platinum
PAX00003,SWA8236,Barbara Young,Angola,1994-02-23,18F,Premium Economy,Boarded,2026-02-01T20:02:18,3,Pet,Silver
PAX00004,AFR575,Michael Grimes,Bosnia and Herzegovina,1996-06-15,35F,Economy,Checked-in,2026-02-03T20:56:30,3,None,None
PAX00005,BAW5712,Amy Walker,Papua New Guinea,1977-11-20,24A,Premium Economy,Scheduled,2026-02-01T19:49:33,1,Unaccompanied Minor,None
PAX00006,AFR6432,James Carpenter,Armenia,1969-07-09,24D,Premium Economy,Checked-in,2026-02-01T11:17:08,0,Pet,None
PAX00007,KLM6600,Carrie Burke,Gibraltar,1977-05-15,28E,Premium Economy,Scheduled,2026-02-02T22:42:21,1,Pet,None
PAX00008,BAW4955,Jessica Richardson,Myanmar,1989-07-30,32A,Business,Boarded,2026-02-03T13:40:35,1,Pet,Silver
PAX00009,KLM5213,Kimberly Ward,Japan,1973-12-28,11A,Business,Checked-in,2026-02-03T03:00:59,1,Unaccompanied Minor,Silver
PAX00010,AFR2884,Christopher Kemp,Australia,1983-01-06,12B,Economy,Boarded,2026-02-03T02:13:57,0,None,Silver
PAX00011,KLM6418,Daniel Cole,Eritrea,1986-02-26,27F,First,Boarded,2026-02-02T13:19:19,0,Unaccompanied Minor,Gold
PAX00012,AFR8532,Kristin Dickson,Niger,1999-07-24,11F,Economy,No-show,2026-02-01T07:42:55,3,Wheelchair,Platinum
PAX00013,KLM2642,Joshua Norris,Venezuela,1962-10-31,29A,Economy,Boarded,2026-02-03T14:57:15,2,None,None
PAX00014,AFR7310,Michael Daugherty,Cayman Islands,1997-01-03,16E,Economy,No-show,2026-02-01T21:38:04,1,None,Gold
PAX00015,BAW2246,Preston Morales,Uzbekistan,1976-10-07,9E,Economy,Scheduled,2026-02-02T16:32:18,0,Unaccompanied Minor,Silver
PAX00016,AAL1019,Austin Baker,Korea,1953-12-19,36A,Premium Economy,Boarded,2026-02-02T21:57:35,0,None,Silver
PAX00017,AFR117,Carolyn Lang,United States Virgin Islands,1973-03-06,23B,Business,No-show,2026-02-01T06:00:15,3,Wheelchair,Silver
PAX00018,AAL155,Kurt Davis,Aruba,1974-09-01,14B,Premium Economy,Boarded,2026-02-02T04:41:54,2,Wheelchair,Gold
PAX00019,AFR9678,Tracy Adams,Benin,1948-12-21,31C,First,Boarded,2026-02-03T14:33:50,3,Pet,None
PAX00020,SWA9334,Dawn Reeves,Svalbard & Jan Mayen Islands,1964-11-01,24E,First,Checked-in,2026-02-03T05:15:36,1,Wheelchair,None
PAX00021,AFR9162,Daniel Jones,France,1987-12-04,25B,Premium Economy,Boarded,2026-02-02T17:59:07,0,Wheelchair,Silver
PAX00022,DAL8139,Jaime Powell,Philippines,1947-02-07,31A,First,Checked-in,2026-02-02T13:24:32,1,Unaccompanied Minor,None
PAX00023,DLH9680,Jennifer Wright,Eritrea,1955-02-22,24B,Premium Economy,Checked-in,2026-02-02T12:40:06,3,Unaccompanied Minor,None
PAX00024,BAW1143,Danielle Mendoza,Zambia,1998-06-02,17F,Economy,No-show,2026-02-02T21:27:09,3,Wheelchair,Platinum
PAX00025,AFR8361,Andrea Sanchez,Kenya,1997-03-15,2F,Business,Scheduled,2026-02-03T17:49:10,0,Unaccompanied Minor,Silver
PAX00026,AFR117,Michael Chang,Andorra,1945-11-13,2F,Economy,Checked-in,2026-02-03T14:29:29,2,Wheelchair,None
PAX00027,KLM3488,Rachel Wilson,Kuwait,1986-01-10,35C,First,Checked-in,2026-02-02T05:51:28,0,Unaccompanied Minor,Silver
PAX00028,KLM6988,Robert Watson,Madagascar,1971-02-07,10A,First,Scheduled,2026-02-03T12:17:16,1,None,None
PAX00029,DLH5530,Cory Stewart,Spain,1975-01-15,23B,First,Scheduled,2026-02-02T06:37:17,3,None,Gold
PAX00030,DAL5838,Krista Dominguez,Egypt,2007-11-28,20A,Economy,No-show,2026-02-03T03:21:46,3,Pet,Gold
PAX00031,KLM8964,Derrick White,Mauritius,1949-10-05,6A,First,Boarded,2026-02-03T10:05:38,2,Wheelchair,None
PAX00032,KLM3225,John Booker,Falkland Islands (Malvinas),1945-03-13,18A,First,Scheduled,2026-02-03T11:09:18,1,Pet,Silver
PAX00033,DAL8438,Heather Butler,Romania,1977-04-12,1F,Premium Economy,No-show,2026-02-01T17:25:50,1,Wheelchair,Platinum
PAX00034,DLH8060,Curtis Nunez,Panama,1946-03-07,32F,Economy,Boarded,2026-02-03T05:37:20,0,None,Silver
PAX00035,KLM3395,Christopher Gonzalez,Namibia,1988-07-30,37D,First,No-show,2026-02-03T07:32:44,0,None,Platinum
PAX00036,AFR8900,Jennifer Lee,Tajikistan,1946-04-26,26C,First,Checked-in,2026-02-01T02:25:47,3,Unaccompanied Minor,Silver
PAX00037,BAW9063,Kiara Hill,Pakistan,1989-10-12,5B,First,Checked-in,2026-02-02T06:31:55,2,Wheelchair,Gold
PAX00038,KLM3395,Madeline Sparks,Bosnia and Herzegovina,1963-12-24,29E,Economy,Boarded,2026-02-02T08:57:13,3,Pet,Silver
PAX00039,DLH5530,Troy Castro,French Polynesia,1966-07-02,11C,First,Boarded,2026-02-03T15:08:30,2,Pet,Gold
PAX00040,DLH2926,Deanna Porter,Niger,1960-05-17,9F,First,Checked-in,2026-02-03T14:48:47,1,Unaccompanied Minor,Platinum
PAX00041,DLH5909,Lori Johnson,Saint Helena,1996-08-19,30F,Economy,No-show,2026-02-01T00:57:06,0,None,Silver
PAX00042,UAL3242,Mark Fisher,Norway,1957-02-01,29F,Economy,Boarded,2026-02-01T06:02:53,1,Unaccompanied Minor,Silver
PAX00043,SWA6582,Kevin Jordan,Rwanda,1988-04-14,9E,Economy,Boarded,2026-02-01T23:37:01,1,Pet,Gold
PAX00044,AAL2003,Kim Huang,Monaco,1978-11-30,29B,First,Scheduled,2026-02-02T17:31:19,1,None,Silver
PAX00045,KLM6811,Mike Barber,Armenia,1982-07-04,13B,Premium Economy,No-show,2026-02-01T08:43:19,2,None,Gold
PAX00046,DAL681,Steve Moore,Benin,1966-01-28,29D,Economy,Boarded,2026-02-01T01:24:53,3,None,None
PAX00047,UAL9673,Richard Walsh,Monaco,1988-10-27,23A,First,No-show,2026-02-03T15:14:42,1,Unaccompanied Minor,Silver
PAX00048,AAL8107,William Brown,Sri Lanka,1986-06-29,40A,First,No-show,2026-02-03T06:18:17,0,Pet,Gold
PAX00049,DAL9870,Raymond Armstrong,Malawi,1953-08-06,28A,Premium Economy,Boarded,2026-02-01T08:56:48,1,Unaccompanied Minor,None
PAX00050,SWA7178,Gregory Vargas,Holy See (Vatican City State),1985-07-31,17A,Economy,Checked-in,2026-02-02T12:22:13,2,Unaccompanied Minor,Gold
PAX00051,KLM7730,Cesar Smith,Turkmenistan,1992-08-12,33C,First,Scheduled,2026-02-03T02:50:34,3,None,None
PAX00052,DAL681,Christopher Shaw,Canada,1992-01-19,13B,Economy,Checked-in,2026-02-01T18:49:31,2,None,Platinum
PAX00053,AFR6004,Tony Lang,Congo,1948-09-04,23F,Business,Boarded,2026-02-01T17:00:01,1,Pet,None
PAX00054,AFR3348,Michael Chan,Antarctica (the territory South of 60 deg S),1967-07-12,22D,First,Checked-in,2026-02-01T23:22:40,1,None,Silver
PAX00055,DAL6566,Brenda Moore,Equatorial Guinea,1990-07-08,25C,Business,Boarded,2026-02-02T23:36:02,3,Unaccompanied Minor,Silver
PAX00056,AFR6442,Lindsey Davidson,Cambodia,1960-08-09,21A,Economy,Boarded,2026-02-01T06:53:09,0,None,Silver
PAX00057,AAL3735,Kevin Thompson,Ghana,1951-12-31,14D,First,Scheduled,2026-02-02T12:33:50,3,Pet,Platinum
PAX00058,DLH3784,Robert Hurley,Bahrain,1988-01-14,30E,First,Scheduled,2026-02-01T15:31:54,1,Wheelchair,None
PAX00059,BAW8203,Kaitlyn Hoffman,Puerto Rico,1959-09-04,39D,Business,No-show,2026-02-02T19:44:09,1,Pet,None
PAX00060,KLM7153,Lisa Webb,United States Minor Outlying Islands,1945-03-14,39C,Premium Economy,Boarded,2026-02-01T04:17:41,2,None,None
PAX00061,BAW3076,Brent Sandoval,Vanuatu,1989-12-04,23F,Economy,Boarded,2026-02-02T21:01:49,3,None,Platinum
PAX00062,DAL8139,Alexis Moreno,Saint Kitts and Nevis,2002-02-27,31E,Economy,Checked-in,2026-02-03T10:22:37,3,Pet,Silver
PAX00063,AFR3794,Nicholas Evans,Poland,1949-04-12,21B,Economy,Scheduled,2026-02-01T16:05:26,2,Pet,Silver
PAX00064,KLM2855,William Burns,Zambia,1946-07-31,37D,Economy,Scheduled,2026-02-03T20:49:38,0,Wheelchair,Platinum
PAX00065,SWA5014,Marcus Hancock,Iraq,1971-03-05,38F,Premium Economy,Scheduled,2026-02-03T12:26:59,1,Wheelchair,Gold
PAX00066,KLM1522,Steve Koch,Nauru,2006-10-03,30B,Economy,Scheduled,2026-02-02T18:19:09,2,Pet,Gold
PAX00067,BAW7629,Terrance Matthews,Monaco,2006-05-05,26D,First,Scheduled,2026-02-01T23:06:24,0,None,None
PAX00068,DAL102,Alejandro Rodriguez,Cook Islands,1976-05-28,13D,First,Scheduled,2026-02-03T08:56:15,0,None,Gold
PAX00069,AAL6986,Seth Knapp,French Polynesia,1986-01-30,31F,Economy,No-show,2026-02-01T22:30:41,0,Wheelchair,Silver
PAX00070,DAL3413,Vicki Watson,Saint Martin,1963-04-20,31A,Economy,No-show,2026-02-01T09:36:17,2,Wheelchair,Gold
PAX00071,AFR5729,Alexis Larsen,United States Virgin Islands,1991-03-28,2C,First,Boarded,2026-02-02T07:31:43,1,Unaccompanied Minor,Platinum
PAX00072,KLM7565,Mary Benton,Slovenia,1958-04-16,2A,Business,Scheduled,2026-02-03T15:45:17,2,Unaccompanied Minor,Platinum
PAX00073,DAL8126,Brenda Blake,Venezuela,1981-12-06,15C,Business,Checked-in,2026-02-03T08:53:49,1,Pet,Platinum
PAX00074,AAL6541,Diana Fernandez,Maldives,1987-06-02,24F,First,Boarded,2026-02-03T06:15:50,2,Wheelchair,None
PAX00075,AAL155,Ellen Evans,Kazakhstan,1964-11-03,18D,Premium Economy,Boarded,2026-02-01T12:52:44,0,Pet,None
PAX00076,DLH8751,Emily Miller,Saint Lucia,2005-11-19,2D,First,Boarded,2026-02-02T21:25:27,0,Pet,Platinum
PAX00077,KLM2721,Michaela Simmons,Norfolk Island,1973-04-06,3A,Premium Economy,Boarded,2026-02-01T22:28:09,1,Wheelchair,None
PAX00078,BAW102,Karen Haney,Grenada,1989-10-07,2D,Business,Boarded,2026-02-02T05:53:49,1,None,Gold
